#NOMPARTIDA,PARTIDA,CREDITOS INICIALES,_unnamed,OBLIGACIONES RECONOCIDAS A 31 MARZO 2016
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,920. .12101. ,207601.18,,46319.02
RETRIBUCIONES BASICAS LABORAL FIJO,920. .13000. ,27020.46,,5364.87
RETRIBUCIONES COMPLEMENTARIAS LABORAL FIJO,920. .13002. ,28449.66,,6117.54
RETRIBUCIONES BASICAS LABORAL TEMPORAL,920. .13100. ,63417.26,,45485.89
PRODUCTIVIDAD,920. .15000. ,55517.36,,
PROLONGACION DE JORNADA ADMIN.,920. .15100. ,13500.0,,9251.13
SEGURIDAD SOCIAL,920. .16000. ,228126.45,,59311.49
FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,920. .16200. ,2000.0,,
ALQUILERES TERRENO,920. .20000. ,47714.17,,2650.0
ALQUILERES DEPENDENCIAS MUNICIPALES,920. .20200. ,43560.0,,7260.0
LIMPIEZA EDIFICIOS MUNICIPALES,920. .21200. ,54864.96,,5004.66
MANTENIMIENTO VEHÍCULOS,920. .21400. ,38000.0,,3329.25
MOBILIARIO Y ENSERES,920. .21500. ,1000.0,,
MATERIAL DE OFICINA NO INVENTARIABLE,920. .22000. ,15000.0,,1753.03
PRENSA. LIBROS Y OTRAS PUBLICACIONES,920. .22001. ,8000.0,,1026.32
COMBUSTIBLES Y CARBURANTES,920. .22103. ,55000.0,,4297.87
COMUNICACIONES TELEFONICAS,920. .22200. ,56000.0,,9937.56
COMUNICACIONES POSTALES,920. .22201. ,53000.0,,21747.16
TRANSPORTES,920. .22300.00,2000.0,,33.72
SEGURO RESPONSABILIDAD CIVIL y DEL PERSONAL,920. .22401. ,78000.0,,34135.25
ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,920. .22601. ,22000.0,,
TASA POR PUBLICACION EN BOLETINES OFICIALES,920. .22603. ,9572.58,,2215.71
CONVENIO LIQUIDACIÓN ABOGADOS ESPUNY,920. .22604.00,145000.5,,
SERVICIO ASESORÍA Y DEFENSA JURIDICA,920. .22604.01,35000.0,,
OTROS GASTOS JURÍDICOS,920. .22604.02,45000.0,,4508.42
ESCUDOS BODAS,920. .22699.00,1500.0,,
GASTOS DIVERSOS,920. .22699.01,20000.0,,3891.89
"CONVENIO COLEGIO ABOGADOS, MEDIACION HIPOTECAS",920. .22699.02,3000.0,,
ESTUDIOS Y TRABAJOS TECNICOS  (ASESORÍA LABORAL),920. .22706. ,32529.56,,9075.0
REVISION MEDICA ANUAL PERSONAL Y PREVENCION RIESGO,920. .22799. ,10300.0,,1395.95
PREVENCIÓN DE RIESGOS LABORALES,920. .22799.01,14584.13,,
DIETAS PERSONAL,920. .23010. ,8000.0,,2662.22
TRABAJOS DE IMPRENTA (diariet),920. .24000. ,12500.0,,3204.46
APORTACIOÓN FVMP,920. .46600. ,5758.2,,
PUBLICIDAD Y CAMPAÑAS INSTITUCIONALES,924. .22602.00,80000.0,,6262.3
"SERVICIO COMUNICACIÓN ""ONLINE"" ""OFFLINE""",924. .22602.01,20000.0,,
PROGRAMAS Y ACTIVIDADES PARTICIPACION CIUDADANA Y,924. .22609.01,3000.0,,
"PROGRAMA ""PRESUPUESTOS TRANSPARENTES""",924. .22799.01,12500.0,,
EQUIPOS DE IMPRESIÓN,9261. .20300. ,30000.0,,7178.55
"TAO (Padrón Habitantes,Registro,Contabilidad,Gesti",9261. .20600.01,16000.0,,
WINPLUS,9261. .20600.02,500.0,,4697.67
DERECHO PÚBLICO,9261. .20600.03,3000.0,,
EL CONSULTOR/ BIBLIOGRAFÍA EL CONSULTOR RED,9261. .20600.04,3000.0,,2914.07
Vmware,9261. .20600.05,3000.0,,2355.27
LICENCIAS BACKUP,9261. .20600.06,1200.0,,
MANTENIMIENTO LICENCIAS ANTIVIRUS TREND MICRO,9261. .21600.01,3100.0,,
MANTENIMIENTO APLICACIONES INFORMÁTICAS,9261. .21600.02,6800.0,,921.85
EXTENSIÓN GARANTÍA CABINA Y SERVIDORES IBM,9261. .21600.03,2500.0,,2790.56
EXTENSIÓN GARANTÍA EQUIPOS,9261. .21600.04,4100.0,,
MANTENIMIENTO ORACLE,9261. .21600.05,6000.0,,1320.41
CITRIX,9261. .21600.06,4200.0,,4372.76
GASTOS VARIOS,9261. .22699. ,3000.0,,1306.79
SOPORTE TÉCNICO,9261. .22706.01,15200.0,,
RENOVACION DE ORDENADORES,9261. .62600. ,12000.0,,1156.76
SERVIDOR DE FICHEROS Y MIGRACIÓN ORACLE,9261. .62601.16,5000.0,,
LICENCIAS,9261. .64100. ,,,
APLICACIÓN INFORMATICA CONTABILIDAD,9261. .64100.16,29040.0,,
SISTEMA MONITORIZACION CPD,9261. .64101.16,5000.0,,
FONDO DE CONTINGENCIA ART. 31 LOES,929. .50000.00,227588.24,,
RETRIBUCIONES BASICAS FUNCIONARIOS A1,931. .12000. ,75132.84,,6720.9
RETRIBUCIONES BASICAS FUNCIONARIOS A2,931. .12001. ,15705.33,,2905.71
RETRIBUCIONES BASICAS FUNCIONARIOS C1,931. .12003. ,49586.21,,6545.07
RETRIBUCIONES BASICAS FUNCIONARIOS C2,931. .12004. ,31344.11,,4842.0
TRIENIOS FUNCIONARIOS,931. .12006. ,15715.92,,3836.48
COMPLEMENTO DE DESTINO FUNCIONARIOS,931. .12100. ,78832.71,,14817.57
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,931. .12101. ,138847.4,,25892.42
ECORJV/2014/112/12 ORIENTAT,931. .13100.01,,,3332.26
ECORJV/2014/175/12 FESCULTURA,931. .13100.02,,,3824.74
GRATIFICACIONES POR PROLONGACION  DE JORNADA,931. .15100. ,3000.0,,1953.62
SEGURIDAD SOCIAL,931. .16000. ,104490.12,,20478.43
INTERESES ANTICIPO RECAUDACIÓN,931. .31900. ,30000.0,,
GESTION RECAUDATORIA,932. .22708. ,420000.0,,73250.5
,,,,
#,,25300000.0,,6405250.07
